2011Zones,Bus Accessbility Count
Culter - 01,22.28
Culter - 02,20.17
Culter - 03,14.69
Culter - 04,4.4
Culter - 05,13.78
Culter - 06,11.71
Culter - 07,1.92
"Cults, Bieldside and Milltimber West - 01",7.21
"Cults, Bieldside and Milltimber West - 02",9.35
"Cults, Bieldside and Milltimber West - 03",0
"Cults, Bieldside and Milltimber West - 04",11.96
"Cults, Bieldside and Milltimber West - 05",0.01
"Cults, Bieldside and Milltimber East - 01",15.12
"Cults, Bieldside and Milltimber East - 02",2.31
"Cults, Bieldside and Milltimber East - 03",0
"Cults, Bieldside and Milltimber East - 04",3.81
"Cults, Bieldside and Milltimber East - 05",7.36
"Cults, Bieldside and Milltimber East - 06",16.16
"Cults, Bieldside and Milltimber East - 07",18.2
"Cults, Bieldside and Milltimber East - 08",12.77
Garthdee - 01,24.51
Garthdee - 02,33.56
Garthdee - 03,19.51
Garthdee - 04,8.05
Garthdee - 05,7.23
Garthdee - 06,18.13
"Braeside, Mannofield, Broomhill and Seafield East - 01",15.52
"Braeside, Mannofield, Broomhill and Seafield East - 02",25.38
"Braeside, Mannofield, Broomhill and Seafield East - 03",31.73
"Braeside, Mannofield, Broomhill and Seafield East - 04",34.06
"Braeside, Mannofield, Broomhill and Seafield East - 05",65.16
"Braeside, Mannofield, Broomhill and Seafield South - 01",9.61
"Braeside, Mannofield, Broomhill and Seafield South - 02",20.35
"Braeside, Mannofield, Broomhill and Seafield South - 03",13.44
"Braeside, Mannofield, Broomhill and Seafield South - 04",14.76
"Braeside, Mannofield, Broomhill and Seafield South - 05",8.16
"Braeside, Mannofield, Broomhill and Seafield North - 01",8.12
"Braeside, Mannofield, Broomhill and Seafield North - 02",8.41
"Braeside, Mannofield, Broomhill and Seafield North - 03",41.28
"Braeside, Mannofield, Broomhill and Seafield North - 04",14.7
"Braeside, Mannofield, Broomhill and Seafield North - 05",7.62
Hazlehead - 01,18.03
Hazlehead - 02,5.43
Hazlehead - 03,24.42
Hazlehead - 04,20.56
Hazlehead - 05,36.82
Hazlehead - 06,7.01
Summerhill - 01,12.35
Summerhill - 02,34.55
Summerhill - 03,25.4
Summerhill - 04,31.31
Summerhill - 05,35.25
Midstocket - 01,55.81
Midstocket - 02,55.12
Midstocket - 03,68.21
Midstocket - 04,106.15
Midstocket - 05,11.45
Midstocket - 06,53.02
Rosemount - 01,34.36
Rosemount - 02,105.24
Rosemount - 03,64.44
Rosemount - 04,43.3
Rosemount - 05,52.05
Rosemount - 06,60.3
Rosemount - 07,46.45
West End North - 01,67.8
West End North - 02,5.29
West End North - 03,17.11
West End North - 04,26.13
West End South - 01,25.83
West End South - 02,31.86
West End South - 03,11.28
West End South - 04,46.51
West End South - 05,95.95
West End South - 06,19.32
West End South - 07,21.82
City Centre West - 01,146.48
City Centre West - 02,90.55
City Centre West - 03,55.86
City Centre West - 04,65.46
City Centre West - 05,191.42
City Centre East - 01,90.81
City Centre East - 02,333.26
City Centre East - 03,78.07
City Centre East - 04,116.41
Ferryhill North - 01,17.47
Ferryhill North - 02,7.52
Ferryhill North - 03,18.5
Ferryhill North - 04,51.26
Ferryhill North - 05,32.01
Ferryhill North - 06,18.05
Ferryhill North - 07,80.65
Ferryhill South - 01,16.51
Ferryhill South - 02,19.91
Ferryhill South - 03,21.24
Ferryhill South - 04,32.6
Ferryhill South - 05,30.79
"Kincorth, Leggart and Nigg North - 01",21.56
"Kincorth, Leggart and Nigg North - 02",34.1
"Kincorth, Leggart and Nigg North - 03",19.1
"Kincorth, Leggart and Nigg North - 04",20.37
"Kincorth, Leggart and Nigg North - 05",19.19
"Kincorth, Leggart and Nigg South - 01",9.73
"Kincorth, Leggart and Nigg South - 02",15.47
"Kincorth, Leggart and Nigg South - 03",3.22
"Kincorth, Leggart and Nigg South - 04",14.05
"Kincorth, Leggart and Nigg South - 05",15.42
Cove South - 01,14.21
Cove South - 02,18.68
Cove South - 03,16.98
Cove South - 04,24.45
Cove South - 05,15.03
Cove South - 06,25.42
Cove North - 01,14.06
Cove North - 02,38.74
Cove North - 03,29.79
Cove North - 04,14.87
Cove North - 05,22.12
Torry West - 01,55.12
Torry West - 02,55.64
Torry West - 03,43.46
Torry West - 04,63.71
Torry West - 05,91.44
Torry West - 07,18.4
Torry East - 01,52.31
Torry East - 02,45.16
Torry East - 04,47.03
Hanover South - 01,18.12
Hanover South - 02,61.74
Hanover South - 03,117.17
Hanover South - 04,9.47
Hanover North - 01,20.12
Hanover North - 02,116.3
Hanover North - 03,71.38
Hanover North - 04,30.62
George Street - 01,96.97
George Street - 02,132.77
George Street - 03,111.62
George Street - 04,141.74
George Street - 05,98.23
George Street - 06,124.23
George Street - 07,128.44
George Street - 08,89.98
Ashgrove - 01,49.19
Ashgrove - 02,47.18
Ashgrove - 03,15.44
Ashgrove - 04,78.05
Ashgrove - 05,158.93
"Froghall, Powis and Sunnybank - 01",16.54
"Froghall, Powis and Sunnybank - 02",64.57
"Froghall, Powis and Sunnybank - 03",66.4
"Froghall, Powis and Sunnybank - 04",45.08
"Froghall, Powis and Sunnybank - 06",84.21
"Froghall, Powis and Sunnybank - 07",20.33
"Froghall, Powis and Sunnybank - 08",77.27
Seaton - 01,20.87
Seaton - 03,41.54
Seaton - 04,50.29
Seaton - 05,41.72
Old Aberdeen - 01,12.55
Old Aberdeen - 02,72.08
Old Aberdeen - 03,71.05
Old Aberdeen - 04,68.23
Tillydrone - 02,36.78
Tillydrone - 03,31.8
Tillydrone - 04,22.37
Tillydrone - 05,25.09
Tillydrone - 06,20.75
Woodside - 01,44.51
Woodside - 02,69.93
