2011Zones,Children Benefit Number
Abbey Parks North,40
Abbey Parks South and Brucefield North West,100
Abbeyhill - 01,70
Abbeyhill - 02,30
Abbeyhill - 03,75
Abbeyview Central,155
Abbeyview East,245
Abbeyview Linburn,205
Abbeyview North,225
Abbeyview South East,140
Abbeyview West,125
Aberchirder and Whitehills - 01,155
Aberchirder and Whitehills - 02,115
Aberchirder and Whitehills - 03,90
Aberchirder and Whitehills - 04,135
Aberchirder and Whitehills - 05,110
Aberdour,145
Aberhill,170
Aberuthven and Almondbank - 01,270
Aberuthven and Almondbank - 02,155
Aberuthven and Almondbank - 03,95
Aberuthven and Almondbank - 04,100
Aberuthven and Almondbank - 05,115
Aboyne and South Deeside - 01,90
Aboyne and South Deeside - 02,105
Aboyne and South Deeside - 03,150
Aboyne and South Deeside - 04,60
Aboyne and South Deeside - 05,80
Aboyne and South Deeside - 06,135
Aboyne and South Deeside - 07,75
Abronhill North - 01,175
Abronhill North - 02,210
Abronhill North - 03,130
Abronhill North - 04,115
Abronhill North - 05,55
Abronhill North - 06,155
Abronhill South - 01,200
Abronhill South - 02,245
Abronhill South - 03,140
Abronhill South - 04,120
Abronhill South - 05,145
Admiralty Central,80
Admiralty North,130
Admiralty North East,120
Admiralty South,85
Admiralty South East,160
Admiralty South West,160
Airdrie North - 01,190
Airdrie North - 02,235
Airdrie North - 03,140
Airdrie North - 04,185
Airdrie North - 05,150
Airdrie North - 06,245
Alexandra Parade - 01,135
Alexandra Parade - 02,60
Alexandra Parade - 03,90
Alexandria - 01,255
Alexandria - 02,130
Alexandria - 03,225
Alexandria - 04,110
Alexandria - 05,125
Allanton - Newmains Rural - 01,355
Allanton - Newmains Rural - 02,115
Allanton - Newmains Rural - 03,70
Allanton - Newmains Rural - 04,100
Alloa North - 01,135
Alloa North - 02,90
Alloa North - 03,120
Alloa North - 04,165
Alloa North - 05,95
Alloa North - 06,130
Alloa North - 07,55
Alloa North - 08,65
Alloa North - 09,115
Alloa South and East - 01,135
Alloa South and East - 02,135
Alloa South and East - 03,335
Alloa South and East - 04,155
Alloa South and East - 05,235
Alloa South and East - 06,150
Alloa West - 01,110
Alloa West - 02,80
Alloa West - 03,140
Alloa West - 04,115
Alloa West - 05,160
Alloway and Doonfoot - 01,70
Alloway and Doonfoot - 02,75
Alloway and Doonfoot - 03,75
Alloway and Doonfoot - 04,65
Alloway and Doonfoot - 05,60
Alloway and Doonfoot - 06,95
Alloway and Doonfoot - 07,50
Alloway and Doonfoot - 08,80
Alness - 01,205
Alness - 02,145
Alness - 03,240
Alness - 04,235
Alness - 05,75
Alness - 06,195
Alness - 07,90
Alness - 08,185
Altonhill North and Onthank - 01,145
Altonhill North and Onthank - 02,195
Altonhill North and Onthank - 03,290
Altonhill North and Onthank - 04,205
Altonhill North and Onthank - 05,135
Altonhill North and Onthank - 06,195
"Altonhill South, Longpark and Hillhead - 01",260
"Altonhill South, Longpark and Hillhead - 02",150
"Altonhill South, Longpark and Hillhead - 03",110
"Altonhill South, Longpark and Hillhead - 04",205
"Altonhill South, Longpark and Hillhead - 05",225
"Altonhill South, Longpark and Hillhead - 06",120
"Altonhill South, Longpark and Hillhead - 07",90
Alva - 01,120
Alva - 02,145
Alva - 03,105
Alva - 04,130
Alva - 05,125
Alva - 06,45
Alva - 07,55
Alyth - 01,65
Alyth - 02,120
Alyth - 03,165
Alyth - 04,140
Ancrum and Lanton Area,155
Anderston - 01,60
Anderston - 02,125
Anderston - 03,180
Anderston - 04,85
Anderston - 05,60
Anderston - 06,35
Angus Glens - 01,65
Angus Glens - 02,110
Angus Glens - 03,125
Angus Glens - 04,85
Angus Glens - 05,110
Annan East - 01,125
Annan East - 02,175
Annan East - 03,75
Annan East - 04,120
Annan East - 05,230
Annan East - 06,170
Annan East - 07,200
Annan East - 08,85
Annan West - 01,180
Annan West - 02,90
Annan West - 03,130
Annan West - 04,140
Annandale East - 01,105
Annandale East - 02,85
Annandale East - 03,125
Annandale East - 04,195
Annandale East - 05,110
Annandale West - 01,125
Annandale West - 02,60
Annandale West - 03,55
Annandale West - 04,140
"Annbank, Mossblown and Tarbolton - the Coalfields - 01",145
"Annbank, Mossblown and Tarbolton - the Coalfields - 02",130
"Annbank, Mossblown and Tarbolton - the Coalfields - 03",120
"Annbank, Mossblown and Tarbolton - the Coalfields - 04",265
"Annbank, Mossblown and Tarbolton - the Coalfields - 05",105
"Annbank, Mossblown and Tarbolton - the Coalfields - 06",185
"Annbank, Mossblown and Tarbolton - the Coalfields - 07",245
Anniesland East - 01,155
Anniesland East - 02,95
Anniesland East - 03,75
Anniesland East - 04,110
Anniesland East - 05,30
Anniesland West - 01,130
Anniesland West - 02,145
Anniesland West - 03,145
Anniesland West - 04,85
Anniesland West - 05,75
Anniesland West - 06,100
Anniesland West - 07,150
Anniesland West - 08,120
Anstruther,70
Anstruther East and Cellardyke,180
Anstruther South West,130
Anstruther Waid,90
Anstruther West,125
Arbroath Cliffburn - 01,95
Arbroath Cliffburn - 02,110
Arbroath Cliffburn - 03,190
Arbroath Cliffburn - 04,180
Arbroath Cliffburn - 05,155
Arbroath Cliffburn - 06,150
Arbroath Cliffburn - 07,270
Arbroath Harbour - 01,125
Arbroath Harbour - 02,165
Arbroath Harbour - 03,70
Arbroath Harbour - 04,105
Arbroath Harbour - 05,105
Arbroath Harbour - 06,135
Arbroath Keptie - 01,90
Arbroath Keptie - 02,70
Arbroath Keptie - 03,110
Arbroath Keptie - 04,165
Arbroath Kirkton - 01,180
Arbroath Kirkton - 02,170
Arbroath Kirkton - 03,105
Arbroath Kirkton - 04,145
Arbroath Kirkton - 05,120
Arbroath Kirkton - 06,210
Arbroath Kirkton - 07,95
