CouncilArea,Children in Families with Limited Resources Ratio
North Lanarkshire,18.3
Glasgow City,43.1
Inverclyde,17.8
Moray,14.5
East Lothian,4.8
Fife,20.8
East Ayrshire,17.3
Orkney Islands,21.5
Scottish Borders,24
West Dunbartonshire,22.3
South Lanarkshire,18.2
South Ayrshire,36.1
Falkirk,23.2
Perth and Kinross,17.6
Aberdeen City,20.6
Stirling,10.9
Angus,20.7
North Ayrshire,27.1
Na h-Eileanan Siar,21.3
West Lothian,24.5
City of Edinburgh,13.7
Renfrewshire,19.2
Aberdeenshire,4.7
Clackmannanshire,15.5
East Renfrewshire,9.5
Argyll and Bute,16.3
Dundee City,30.1
Highland,15.9
Dumfries and Galloway,18.9
Shetland Islands,12.8
Midlothian,13.9
East Dunbartonshire,12.4
