CouncilArea,Earnings Median Value
Aberdeen City,532.8
Aberdeenshire,455.6
Angus,425
Argyll and Bute,437.2
City of Edinburgh,546.2
Clackmannanshire,464
Dumfries and Galloway,442.3
Dundee City,505.1
East Ayrshire,584.4
East Dunbartonshire,411.5
East Lothian,423.7
East Renfrewshire,400.1
Falkirk,494.8
Fife,450.6
Glasgow City,537.2
Highland,490
Inverclyde,437.7
Midlothian,476
Moray,460
Na h-Eileanan Siar,541.7
North Ayrshire,499.7
North Lanarkshire,522.6
Orkney Islands,427
Perth and Kinross,523.2
Renfrewshire,463.5
Scottish Borders,451.5
Shetland Islands,573.4
South Ayrshire,459.9
South Lanarkshire,491.4
Stirling,549.4
West Dunbartonshire,461.9
West Lothian,502.5
