2011Zones,Public Transport Mean Indicator Minutes
Abbey Parks North,8.1
Abbey Parks South and Brucefield North West,5
Abbeyhill - 01,5.2
Abbeyhill - 02,7.6
Abbeyhill - 03,7.1
Abbeyview Central,7.9
Abbeyview East,5.3
Abbeyview Linburn,6.8
Abbeyview North,8.1
Abbeyview South East,4.7
Abbeyview West,8.4
Aberchirder and Whitehills - 01,18.1
Aberchirder and Whitehills - 02,20.7
Aberchirder and Whitehills - 03,30.2
Aberchirder and Whitehills - 04,33.5
Aberchirder and Whitehills - 05,30.9
Aberdour,15.9
Aberhill,8.4
Aberuthven and Almondbank - 01,18.8
Aberuthven and Almondbank - 02,25.8
Aberuthven and Almondbank - 03,21
Aberuthven and Almondbank - 04,20.7
Aberuthven and Almondbank - 05,24
Aboyne and South Deeside - 01,12.4
Aboyne and South Deeside - 02,8.1
Aboyne and South Deeside - 03,16.5
Aboyne and South Deeside - 04,25.1
Aboyne and South Deeside - 05,29.6
Aboyne and South Deeside - 06,5.8
Aboyne and South Deeside - 07,14.5
Abronhill North - 01,12.2
Abronhill North - 02,2.8
Abronhill North - 03,9.2
Abronhill North - 04,9.6
Abronhill North - 05,13.2
Abronhill North - 06,11.1
Abronhill South - 01,13.1
Abronhill South - 02,13.2
Abronhill South - 03,12.8
Abronhill South - 04,20
Abronhill South - 05,17.3
Admiralty Central,7.6
Admiralty North,5.8
Admiralty North East,7.1
Admiralty South,10.6
Admiralty South East,7.4
Admiralty South West,12
Airdrie North - 01,18.7
Airdrie North - 02,15.7
Airdrie North - 03,9.1
Airdrie North - 04,9.7
Airdrie North - 05,10.7
Airdrie North - 06,15.5
Alexandra Parade - 01,3.6
Alexandra Parade - 02,2.8
Alexandra Parade - 03,6.1
Alexandria - 01,5.5
Alexandria - 02,7.4
Alexandria - 03,9.2
Alexandria - 04,11.6
Alexandria - 05,3.4
Allanton - Newmains Rural - 01,11.2
Allanton - Newmains Rural - 02,12.7
Allanton - Newmains Rural - 03,12.7
Allanton - Newmains Rural - 04,17.9
Alloa North - 01,10.5
Alloa North - 02,14.3
Alloa North - 03,12.4
Alloa North - 04,10.5
Alloa North - 05,12.4
Alloa North - 06,10.7
Alloa North - 07,11.2
Alloa North - 08,17
Alloa North - 09,13.5
Alloa South and East - 01,8.5
Alloa South and East - 02,6.8
Alloa South and East - 03,13.7
Alloa South and East - 04,15.7
Alloa South and East - 05,20.4
Alloa South and East - 06,9.2
Alloa West - 01,16.6
Alloa West - 02,10.4
Alloa West - 03,12.9
Alloa West - 04,16.9
Alloa West - 05,18.5
Alloway and Doonfoot - 01,8.8
Alloway and Doonfoot - 02,12.7
Alloway and Doonfoot - 03,8.9
Alloway and Doonfoot - 04,13.5
Alloway and Doonfoot - 05,10.5
Alloway and Doonfoot - 06,11.6
Alloway and Doonfoot - 07,13
Alloway and Doonfoot - 08,7.2
Alness - 01,12.9
Alness - 02,9
Alness - 03,11.1
Alness - 04,9.3
Alness - 05,8.7
Alness - 06,6.9
Alness - 07,12
Alness - 08,10.2
Altonhill North and Onthank - 01,11
Altonhill North and Onthank - 02,11.1
Altonhill North and Onthank - 03,12.1
Altonhill North and Onthank - 04,8
Altonhill North and Onthank - 05,9.8
Altonhill North and Onthank - 06,12.2
"Altonhill South, Longpark and Hillhead - 01",15.6
"Altonhill South, Longpark and Hillhead - 02",6.5
"Altonhill South, Longpark and Hillhead - 03",3.6
"Altonhill South, Longpark and Hillhead - 04",9.5
"Altonhill South, Longpark and Hillhead - 05",9.4
"Altonhill South, Longpark and Hillhead - 06",8.7
"Altonhill South, Longpark and Hillhead - 07",8.2
Alva - 01,7.4
Alva - 02,5.5
Alva - 03,7.4
Alva - 04,3.5
Alva - 05,6.1
Alva - 06,8.1
Alva - 07,7.9
Alyth - 01,11.2
Alyth - 02,7.4
Alyth - 03,11.3
Alyth - 04,6
Ancrum and Lanton Area,17.6
Anderston - 01,8.7
Anderston - 02,5.5
Anderston - 03,6
Anderston - 04,2.5
Anderston - 05,2.4
Anderston - 06,4.1
Angus Glens - 01,44.7
Angus Glens - 02,34.8
Angus Glens - 03,31
Angus Glens - 04,32.2
Angus Glens - 05,5.7
Annan East - 01,8.7
Annan East - 02,10.1
Annan East - 03,14.9
Annan East - 04,15.4
Annan East - 05,10.8
Annan East - 06,13.2
Annan East - 07,17.2
Annan East - 08,17.1
Annan West - 01,10.7
Annan West - 02,4.1
Annan West - 03,7.2
Annan West - 04,9.6
Annandale East - 01,33
Annandale East - 02,17.1
Annandale East - 03,10.8
Annandale East - 04,7.4
Annandale East - 05,33.6
Annandale West - 01,23.9
Annandale West - 02,29
Annandale West - 03,17.5
Annandale West - 04,12.9
"Annbank, Mossblown and Tarbolton - the Coalfields - 01",25.3
"Annbank, Mossblown and Tarbolton - the Coalfields - 02",17.9
"Annbank, Mossblown and Tarbolton - the Coalfields - 03",14.9
"Annbank, Mossblown and Tarbolton - the Coalfields - 04",9.7
"Annbank, Mossblown and Tarbolton - the Coalfields - 05",7.9
"Annbank, Mossblown and Tarbolton - the Coalfields - 06",4.7
"Annbank, Mossblown and Tarbolton - the Coalfields - 07",9.8
Anniesland East - 01,13.6
Anniesland East - 02,7.7
Anniesland East - 03,8.1
Anniesland East - 04,9.1
Anniesland East - 05,4.4
Anniesland West - 01,4.6
Anniesland West - 02,5.2
Anniesland West - 03,8.1
Anniesland West - 04,2.8
Anniesland West - 05,4.5
Anniesland West - 06,6.5
Anniesland West - 07,4
Anniesland West - 08,4.4
Anstruther,7.1
Anstruther East and Cellardyke,7.5
Anstruther South West,8
Anstruther Waid,7.9
Anstruther West,6
Arbroath Cliffburn - 01,4.7
Arbroath Cliffburn - 02,5.6
Arbroath Cliffburn - 03,6.3
Arbroath Cliffburn - 04,5.8
Arbroath Cliffburn - 05,6.2
Arbroath Cliffburn - 06,6
Arbroath Cliffburn - 07,6.6
Arbroath Harbour - 01,7.7
Arbroath Harbour - 02,8
Arbroath Harbour - 03,6.5
Arbroath Harbour - 04,3.1
Arbroath Harbour - 05,3.6
Arbroath Harbour - 06,4.1
Arbroath Keptie - 01,10.6
Arbroath Keptie - 02,10.2
Arbroath Keptie - 03,10
Arbroath Keptie - 04,11
Arbroath Kirkton - 01,18.4
Arbroath Kirkton - 02,17.6
Arbroath Kirkton - 03,16.1
Arbroath Kirkton - 04,13.2
Arbroath Kirkton - 05,11.1
Arbroath Kirkton - 06,12.1
Arbroath Kirkton - 07,12.7
Arbroath Landward - 01,28.7
Arbroath Landward - 02,21
Arbroath Landward - 03,18.8
Arbroath Warddykes - 01,9.1
Arbroath Warddykes - 02,8.5
Arbroath Warddykes - 03,9.3
Arbroath Warddykes - 04,14.2
Arbroath Warddykes - 05,10
Arbroath Warddykes - 06,10.2
Arbroath Warddykes - 07,18.1
Ardler and St Marys - 01,15.1
Ardler and St Marys - 02,15
Ardler and St Marys - 03,14.6
Ardler and St Marys - 04,17
Ardler and St Marys - 05,14.9
Ardler and St Marys - 06,17.7
Ardler and St Marys - 07,16
Ardler and St Marys - 08,15.3
Ardrossan Central - 01,8.2
Ardrossan Central - 02,4
Ardrossan Central - 03,4.1
Ardrossan Central - 04,5.9
Ardrossan North East - 01,9.4
Ardrossan North East - 02,6.5
Ardrossan North East - 03,7.5
Ardrossan North East - 04,4.2
Ardrossan North East - 05,9.7
Ardrossan North West - 01,7
Ardrossan North West - 02,7.8
Ardrossan North West - 03,10.8
Ardrossan North West - 04,10.5
Armadale - 01,4.5
Armadale - 02,6.2
Armadale - 03,6.8
Armadale - 04,10.3
Armadale - 05,7.6
Armadale - 06,4
Armadale - 07,8.3
Armadale - 08,5
Armadale - 09,8.3
Armadale South - 01,10.5
Armadale South - 02,7.6
Armadale South - 03,6.3
Armadale South - 04,5.5
Armadale South - 05,9.8
Armadale South - 06,7.1
Armadale South - 07,9.6
Armadale South - 08,8.2
Arran - 01,17.2
Arran - 02,22.2
Arran - 03,10.2
Arran - 04,6.7
Arran - 05,6.7
Arran - 06,10
Arran - 07,6.1
Arthurlie and Gateside - 01,12
Arthurlie and Gateside - 02,7.7
Arthurlie and Gateside - 03,8.9
Arthurlie and Gateside - 04,12.3
Arthurlie and Gateside - 05,6.1
Ashgill and Netherburn - 01,19.8
Ashgill and Netherburn - 02,15.5
Ashgill and Netherburn - 03,11.5
Ashgrove - 01,6.8
Ashgrove - 02,9.7
Ashgrove - 03,9.4
Ashgrove - 04,4.8
Ashgrove - 05,3.4
Ashkirk Lilliesleaf and Midlem Area,27.1
Auchenback - 01,8.8
Auchenback - 02,10.7
Auchenback - 03,8.9
Auchenback - 04,10.5
Auchenback - 05,7.2
Auchinairn - 01,7.6
Auchinairn - 02,3.8
Auchinairn - 03,7.3
Auchinairn - 04,4.4
Auchinairn - 05,5.1
Auchinairn - 06,12.3
Auchinleck - 01,7.6
Auchinleck - 02,5.3
Auchinleck - 03,6.2
Auchinleck - 04,5.4
Auchmuty Dovecot and Town Centre,6.6
Auchmuty East,6.3
Auchmuty North West,9
Auchmuty West,7.6
Auchnagatt - 01,23
Auchnagatt - 02,22.5
Auchnagatt - 03,11.8
Auchnagatt - 04,18.7
Auchterarder - 01,7.2
Auchterarder - 02,8.9
Auchterarder - 03,6.2
Auchterarder - 04,7.5
Auchterarder - 05,6.9
