2011Zones,Health Indicator Population Prescribed Drugs Percentage
Abbey Parks North,16.87
Abbey Parks South and Brucefield North West,16.5
Abbeyhill - 01,19.01
Abbeyhill - 02,11.86
Abbeyhill - 03,11.22
Abbeyview Central,25.12
Abbeyview East,27.79
Abbeyview Linburn,19.22
Abbeyview North,24.66
Abbeyview South East,22.06
Abbeyview West,21.13
Aberchirder and Whitehills - 01,17.94
Aberchirder and Whitehills - 02,17.04
Aberchirder and Whitehills - 03,11.81
Aberchirder and Whitehills - 04,18.68
Aberchirder and Whitehills - 05,19.05
Aberdour,13.09
Aberhill,28.2
Aberuthven and Almondbank - 01,17.12
Aberuthven and Almondbank - 02,10.97
Aberuthven and Almondbank - 03,17.82
Aberuthven and Almondbank - 04,18.69
Aberuthven and Almondbank - 05,17.46
Aboyne and South Deeside - 01,21.85
Aboyne and South Deeside - 02,16.81
Aboyne and South Deeside - 03,15.35
Aboyne and South Deeside - 04,17.34
Aboyne and South Deeside - 05,12.86
Aboyne and South Deeside - 06,22.71
Aboyne and South Deeside - 07,10.77
Abronhill North - 01,26.45
Abronhill North - 02,21.13
Abronhill North - 03,23.48
Abronhill North - 04,19.95
Abronhill North - 05,21.14
Abronhill North - 06,17.03
Abronhill South - 01,22.27
Abronhill South - 02,23.92
Abronhill South - 03,25.62
Abronhill South - 04,24.12
Abronhill South - 05,21.42
Admiralty Central,21.14
Admiralty North,22.17
Admiralty North East,19.3
Admiralty South,25.22
Admiralty South East,22.41
Admiralty South West,27.31
Airdrie North - 01,23.07
Airdrie North - 02,23.32
Airdrie North - 03,23.83
Airdrie North - 04,25.42
Airdrie North - 05,29.93
Airdrie North - 06,24.35
Alexandra Parade - 01,20.85
Alexandra Parade - 02,23.26
Alexandra Parade - 03,20.94
Alexandria - 01,25.14
Alexandria - 02,26.03
Alexandria - 03,27.48
Alexandria - 04,20.16
Alexandria - 05,29.49
Allanton - Newmains Rural - 01,16.3
Allanton - Newmains Rural - 02,19.59
