2011Zones,Median House Sale Price
Scotland,152500
Aberdeen City,165000
Aberdeenshire,196500
Angus,150000
Argyll and Bute,136625
City of Edinburgh,223000
Clackmannanshire,126000
Dumfries and Galloway,130000
Dundee City,118000
East Ayrshire,104000
East Dunbartonshire,212212
East Lothian,197500
East Renfrewshire,230000
Falkirk,126000
Fife,135000
Glasgow City,136995
Highland,165000
Inverclyde,95000
Midlothian,185000
Moray,151000
Na h-Eileanan Siar,96000
North Ayrshire,90000
North Lanarkshire,111000
Orkney Islands,145500
Perth and Kinross,170500
Renfrewshire,124000
Scottish Borders,150173
Shetland Islands,157475
South Ayrshire,135100
South Lanarkshire,130000
Stirling,162998
West Dunbartonshire,97000
West Lothian,144000
Aberdeen Central,145000
Aberdeen Donside,163000
Aberdeen South and North Kincardine,207000
Aberdeenshire East,196500
Aberdeenshire West,235750
Airdrie and Shotts,106500
Almond Valley,142153
Angus North and Mearns,147500
Angus South,165000
Argyll and Bute,130000
Ayr,140000
Banffshire and Buchan Coast,130000
"Caithness, Sutherland and Ross",122000
"Carrick, Cumnock and Doon Valley",105000
Clackmannanshire and Dunblane,144995
Clydebank and Milngavie,150000
Clydesdale,147000
Coatbridge and Chryston,130000
Cowdenbeath,120000
Cumbernauld and Kilsyth,105000
Cunninghame North,106000
Cunninghame South,81500
Dumbarton,127000
Dumfriesshire,130000
Dundee City East,115667
Dundee City West,120000
Dunfermline,154080
East Kilbride,118000
East Lothian,222998
Eastwood,260000
Edinburgh Central,287000
Edinburgh Eastern,192000
Edinburgh Northern and Leith,195000
Edinburgh Pentlands,194000
Edinburgh Southern,282600
Edinburgh Western,225000
"Ettrick, Roxburgh and Berwickshire",137275
Falkirk East,126050
Falkirk West,125500
Galloway and West Dumfries,130000
Glasgow Anniesland,132500
Glasgow Cathcart,132888
Glasgow Kelvin,195000
Glasgow Maryhill and Springburn,115130
Glasgow Pollok,125000
Glasgow Provan,120000
Glasgow Shettleston,120000
Glasgow Southside,133000
Greenock and Inverclyde,92000
"Hamilton, Larkhall and Stonehouse",125500
Inverness and Nairn,175000
Kilmarnock and Irvine Valley,110024
Kirkcaldy,100000
Linlithgow,145000
Mid Fife and Glenrothes,107000
Midlothian North and Musselburgh,177500
"Midlothian South, Tweeddale and Lauderdale",177180
Moray,160000
Motherwell and Wishaw,115000
Na h-Eileanan an Iar,96000
North East Fife,190000
Orkney Islands,145500
Paisley,96000
Perthshire North,165000
Perthshire South and Kinross-shire,180000
Renfrewshire North and West,150000
Renfrewshire South,125000
Rutherglen,131000
Shetland Islands,157475
"Skye, Lochaber and Badenoch",190000
Stirling,155000
Strathkelvin and Bearsden,192838
Uddingston and Bellshill,115000
Ayrshire and Arran,111100
Borders,150173
Dumfries and Galloway,130000
Fife,135000
Forth Valley,136000
Grampian,174998
Greater Glasgow and Clyde,140000
Highland,160000
Lanarkshire,122703
Lothian,200000
Orkney,145500
Shetland,157475
Tayside,148000
Western Isles,96000
Abbey,134778
"Aboyne, Upper Deeside and Donside",223000
Aird and Loch Ness,203778
Airdrie Central,84250
Airdrie North,121000
Airdrie South,135000
Airyhall/Broomhill/Garthdee,187000
Almond,228000
Almond and Earn,223995
An Taobh Siar agus Nis,80000
Anderston/City/Yorkhill,175000
Annandale East and Eskdale ,140000
Annandale North,135500
Annandale South,118000
Annick,154995
Arbroath East and Lunan,116500
"Arbroath West, Letham and Friockheim",154750
Ardrossan and Arran,144600
Armadale and Blackridge,132250
Avondale and Stonehouse,177000
Ayr East,130000
Ayr North,99975
Ayr West,202500
Badenoch and Strathspey,205000
Baillieston,154500
Ballochmyle,75000
Banchory and Mid Deeside,265000
Banff and District,129750
Bannockburn,107005
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",95500
"Barrhead, Liboside and Uplawmoor",135000
Bathgate,143000
Bearsden North,289000
Bearsden South,310000
Beinn na Foghla agus Uibhist a Tuath,79094
Bellshill,90000
Bishopbriggs North and Campsie,196000
Bishopbriggs South,163500
"Bishopton, Bridge of Weir and Langbank",187689
Black Isle,229000
Blairgowrie and Glens,164000
Blantyre,87025
Bonnybridge and Larbert,165100
Bonnyrigg,212500
Bothwell and Uddingston,190000
Bo’ness and Blackness,121000
Brechin and Edzell,120000
Bridge of Don,178750
"Broxburn, Uphall and Winchburgh",160000
"Buckhaven, Methil and Wemyss Villages",75529
Buckie,119500
"Burntisland, Kinghorn and Western Kirkcaldy",149950
Calton,115000
Cambuslang East,180000
Cambuslang West,152000
Canal,111888
Caol and Mallaig,185000
Cardonald,89750
Carnoustie and District,170000
Carse of Gowrie,189500
"Carse, Kinnaird and Tryst",148875
Castle Douglas and Crocketford,175000
Central Buchan,150000
City Centre,371371
Clackmannanshire Central,93750
Clackmannanshire East,152500
Clackmannanshire North,120600
Clackmannanshire South,101500
Clackmannanshire West,132000
"Clarkston, Netherlee and Williamwood",232232
Clydebank Central,86000
Clydebank Waterfront,90000
Clydesdale East ,162000
Clydesdale North,116500
Clydesdale South,119999
Clydesdale West,121650
Coatbridge North,79000
Coatbridge South,103000
Coatbridge West,80000
Coldside,86000
Colinton/Fairmilehead,285000
Corstorphine/Murrayfield,265000
Cowal,118998
Cowdenbeath,116750
Craigentinny/Duddingston,178500
Cromarty Firth,129778
Culloden  and Ardersier,172000
Cumbernauld East,83750
Cumbernauld North,160000
Cumbernauld South,83500
Cumnock and New Cumnock,75000
Cupar,165000
Dalkeith,162531
Dalry and West Kilbride,120050
Dee and Glenkens,150000
Dennistoun,125000
Denny and Banknock,146995
Dingwall and Seaforth,163000
Doon Valley,100000
Drum Brae/Gyle,210000
Drumchapel/Anniesland,125000
Dumbarton,101250
Dunbar and East Linton,235500
Dunblane and Bridge of Allan,223000
Dunfermline Central,162545
Dunfermline North,132500
Dunfermline South,160000
Dunoon,101000
Dyce/Bucksburn/Danestone,179995
East Berwickshire,165000
East Centre,90125
East End,96500
East Garioch,247750
East Kilbride Central North,105000
East Kilbride Central South,92000
East Kilbride East,116000
East Kilbride South,144500
East Kilbride West,192000
East Livingston and East Calder,147000
"East Mainland, South Ronaldsay and Burray",150000
East Neuk and Landward,193025
East Sutherland and Edderton,151076
Eilean a' Chèo,190000
Elgin City North,114500
Elgin City South,150000
Ellon and District,193000
Erskine and Inchinnan,131000
Falkirk North,79500
Falkirk South,112500
Fauldhouse and the Breich Valley,115000
Fochabers Lhanbryde,197950
Forfar and District,99000
Forres,150000
Fort William and Ardnamurchan,145000
Forth,180250
Forth and Endrick,261500
Fortissat,91250
Fountainbridge/Craiglockhart,232557
Fraserburgh and District,128750
Galashiels and District,106750
Garscadden/Scotstounhill,115000
"Gartcosh, Glenboig and Moodiesburn",170000
George St/Harbour,115000
Giffnock and Thornliebank,241550
Girvan and South Carrick,93000
Glenrothes Central and Thornton,100125
"Glenrothes North, Leslie and Markinch",125500
Glenrothes West and Kinglassie,87000
Govan,92000
Grangemouth,82000
Greater Pollok,161600
Haddington and Lammermuir,215000
Hamilton North and East,107000
Hamilton South,150000
Hamilton West and Earnock,135000
Hawick and Denholm,102250
Hawick and Hermitage,62250
Hazlehead/Queens Cross/Countesswells,246250
Heldon and Laich,165875
Helensburgh Central,128551
Helensburgh and Lomond South,186000
Highland,200000
Hillhead,220000
Hilton/Woodside/Stockethill,145000
"Houston, Crosslee and Linwood",210000
Howe of Fife and Tay Coast,151650
"Huntly, Strathbogie and Howe of Alford",188000
Inverclyde Central ,51500
Inverclyde East ,126000
Inverclyde East Central,85500
Inverclyde North ,105775
Inverclyde South ,65000
Inverclyde South West ,135000
Inverclyde West,120000
Inverkeithing and Dalgety Bay,152000
Inverleith,320020
Inverness Central,129950
Inverness Millburn,168000
Inverness Ness-side,197000
Inverness South,186500
Inverness West,142000
Inverurie and District,189998
Irvine East,102000
Irvine South,81500
Irvine Valley,80000
Irvine West,75000
Isle of Bute,70000
Jedburgh and District,175000
"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",120000
Johnstone South and Elderslie,126000
Keith and Cullen,135000
Kelso and District,147825
Kilbirnie and Beith,73550
Kilmarnock East and Hurlford,91825
Kilmarnock North,125500
Kilmarnock South,72000
Kilmarnock West and Crosshouse,115000
Kilpatrick,105500
Kilsyth,168750
Kilwinning,84000
Kincorth/Nigg/Cove,169995
Kingswells/Sheddocksley/Summerhill,165000
Kinross-shire,200000
Kintyre and the Islands,155000
Kirkcaldy Central,90000
Kirkcaldy East,90000
Kirkcaldy North,125000
Kirkintilloch East and North and Twechar,115000
Kirkwall East,145000
Kirkwall West and Orphir,148000
Kirriemuir and Dean,145000
Kyle,110000
Langside,138300
Larkhall,117500
Leaderdale and Melrose,170085
Leith ,199995
Leith Walk,200000
Lenzie and Kirkintilloch South,213500
Lerwick North and Bressay,159725
Lerwick South,182750
Leven,109000
"Leven, Kennoway and Largo",130000
Liberton/Gilmerton,185000
Linlithgow,170000
Linn,97250
Livingston North,141500
Livingston South,150000
Loch a Tuath,105000
Lochar,136125
Lochee,126750
"Lochgelly, Cardenden and Benarty",102250
Lomond,112500
Lomond North,170000
Lower Braes,144275
Lower Deeside,318000
Maryfield,102000
Maryhill ,126000
"Maybole, North Carrick and Coylton",146500
Mearns,205250
Mid Argyll ,145000
Mid Berwickshire,155000
Mid Formartine,228000
Mid Galloway and Wigtown West,115000
Mid and Upper Nithsdale,127500
Midlothian East,170000
Midlothian South,192500
Midlothian West,200000
Midstocket/Rosemount,150000
Milngavie,230007
Monifieth and Sidlaw,215000
Montrose and District,119000
Morningside,352750
Mossend and Holytown,83000
Motherwell North,95000
Motherwell South East and Ravenscraig,153000
Motherwell West,122000
Murdostoun,84000
Musselburgh,164500
Na Hearadh agus Ceann a Deas nan Loch,102000
Nairn and Cawdor,195000
Newlands/Auldburn,150000
Newton Mearns North and Neilston,240000
Newton Mearns South and Eaglesham,296050
Nith,117550
North Berwick Coastal,330000
North Coast and Cumbraes,107500
North East,105000
North East,111638
North Isles,115000
North Isles,80000
North Kincardine,222500
North West Dumfries,110000
"North, West and Central Sutherland",117000
Northfield/Mastrick North,133000
Oban North and Lorn,173000
Oban South and the Isles,160000
Paisley East and Central,100000
Paisley Northeast and Ralston,132500
Paisley Northwest,82250
Paisley Southeast,91000
Paisley Southwest,91500
Partick East/Kelvindale,245000
Penicuik,144000
Pentland Hills,250000
Perth City Centre,117250
Perth City North,134000
Perth City South,162810
Peterhead North and Rattray,134000
Peterhead South and Cruden,151000
Pollokshields,160064
Portobello/Craigmillar,200995
"Preston, Seton and Gosford",168000
Prestwick,153150
Renfrew North and Braehead,137250
Renfrew South and Gallowhill,84250
Rosyth,106268
Rutherglen Central and North,90000
Rutherglen South,145000
Saltcoats  ,89000
Selkirkshire,140000
Sgir'Uige agus Ceann a Tuath nan Loch,93750
Sgire an Rubha,122500
Shetland Central,155000
Shetland North,139500
Shetland South,145000
Shetland West,155000
Shettleston,85000
Sighthill/Gorgie,146000
South Kintyre,80000
Southside Central,112250
Southside/Newington,280000
Speyside Glenlivet,155000
Springburn/Robroyston,108327
St Andrews,290000
"Stepps, Chryston and Muirhead",191995
Stevenston,67000
Steòrnabhagh a Deas,99000
Steòrnabhagh a Tuath,109000
Stirling East,114847
Stirling North,142750
Stirling West,163000
Stonehaven and Lower Deeside,245000
Stranraer and the Rhins,104000
Strathallan,211000
Strathearn,165000
Strathmartine,124250
Strathmore,180000
Strathtay,190000
Stromness and South Isles,132522
Tain and Easter Ross,135000
Tay Bridgehead,171000
The Ferry,200000
Thorniewood,143000
Thurso and Northwest Caithness,94500
Tillydrone/Seaton/Old Aberdeen,150000
Torry/Ferryhill,128000
"Tranent, Wallyford and Macmerry",162500
Troon,140050
Trossachs and Teith,217612
Troup,112250
Turriff and District,185000
Tweeddale East,236000
Tweeddale West,186500
Upper Braes,150000
Victoria Park,177000
West End,122000
West Fife and Coastal Villages,148000
West Garioch,230000
West Mainland,159925
"Wester Ross, Strathpeffer and Lochalsh",182000
Westhill and District,237000
Whitburn and Blackburn,140000
Wick and East Caithness,85000
Wishaw,85000
Abbeyhill,188000
Aberchirder and Whitehills,147498
Aberdour and Auchtertool,219995
Aberuthven and Almondbank,199995
Aboyne and South Deeside,300000
Abronhill North,87000
Abronhill South,77250
Airdrie North,69000
Alexandra Parade,107000
Alexandria,130000
Allanton - Newmains Rural,143000
Alloa North,96000
Alloa South and East,82500
Alloa West,140000
Alloway and Doonfoot,265000
Alness,130000
Altonhill North and Onthank,87000
"Altonhill South, Longpark and Hillhead",86250
Alva,142950
Alyth,137500
Anderston,188500
Angus Glens,204500
Annan East,120000
Annan West,86014
Annandale East,168500
Annandale West,178759
"Annbank, Mossblown and Tarbolton - the Coalfields",81000
Anniesland East,155125
Anniesland West,133000
Anstruther,170500
Arbroath Cliffburn,115000
Arbroath Harbour,90000
Arbroath Keptie,130000
Arbroath Kirkton,124750
Arbroath Landward,194500
Arbroath Warddykes,109850
Ardler and St Marys,99000
Ardrossan Central,75000
Ardrossan North East,80000
Ardrossan North West,116750
Armadale,110000
Armadale South,145000
Arran,220000
Arthurlie and Gateside,175000
Ashgill and Netherburn,153995
Ashgrove,155000
Auchenback,101075
Auchinairn,127500
Auchinleck,65000
Auchnagatt,196250
Auchterarder,195000
Auchterless and Monquhitter,227500
Auchtermuchty and Gateside,131875
"Ayr North Harbour, Wallacetown and Newton South",62000
Ayr South Harbour and Town Centre,117500
Baberton and Juniper Green,243000
Badenoch and Strathspey Central,221161
Badenoch and Strathspey North,216000
Badenoch and Strathspey South,163500
Baillieston East,199995
Baillieston West,94000
Balerno and Bonnington Village,337500
Balfron and Drymen,235000
Balgay,132000
Balgownie and Donmouth East,165000
Balgownie and Donmouth West,175000
Balgreen and Roseburn,251000
Ballingry,75000
Balloch,96500
Balloch East,101000
Balloch West,175000
Balmalloch,90000
Balmedie and Potterton,265000
Balmullo and Gauldry,211000
Balornock,80000
Banchory East,238250
Banchory West,232500
Banchory-Devenick and Findon,202625
Banff,103000
Bankhead South,88000
"Banknock, Haggs and Longcroft",118000
Bankton and Murieston,225000
Bannockburn,135000
Barassie,97500
Barlanark,94000
Barloch,306525
Barmulloch,94000
Barnhill,190595
"Barnton, Cammo and Cramond South",375000
Barra and South Uist,95500
Barrahill,225000
Bathgate East,113750
Bathgate West,143000
Bathgate and Boghall,110000
"Bathgate, Wester Inch and Inchcross",165000
Battlefield,145006
Baxter Park,172271
Beith East and Rural,85000
Beith West,87050
Bellfield and Kirkstyle,69998
Bellshill Central,87000
Bellshill South,70000
"Bellsquarry, Adambrae and Kirkton",235000
Belmont,169138
Benbecula and North Uist,79094
Benderloch Trail,185064
Berwickshire Central,155000
Berwickshire East,182000
"Biggar, Symington, Thankerton and Dolphinton",199500
"Bingham, Magdalene and The Christians",132500
Birkenshaw,145000
"Birniehill, Kelvin and Whitehills East",105000
Bishopbriggs North and Kenmure,215100
Bishopbriggs West and Cadder,185875
Bishopton,163000
Black Isle North,228000
Black Isle South,235000
Blackburn,247000
Blackburn,109949
"Blackford, West Mains and Mayfield Road",321000
Blackhall,445000
Blackhill and Barmulloch East,102500
"Blackness, Bo'ness - Carriden and Grahamsdyke",179975
"Blackridge, Westfield and Torphichen",144500
Blaeberry Hill and East Whitburn,114750
"Blair Atholl, Strathardle and Glenshee",231250
Blairdardie East,105000
Blairdardie West,150000
Blairgowrie East (Rattray),142500
Blairgowrie West,156500
Blane Valley,285000
Blantyre South and Wheatlands,80000
Blantytre North and Coatshill,85500
Bo'ness - Douglas,120000
Bo'ness - Kinneil,97000
Bo'ness - Newtown,93000
Bonaly and The Pentlands,366433
Bonhill,132200
Bonnington,210000
Bonnybridge,136000
Bonnyrigg North,172000
Bonnyrigg South,153000
Bonnyton and Town Centre,62250
Borestone,105550
Boswall and Pilton,194000
Bothwell North,120000
Bothwell South,251107
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",85000
Bowling,102500
Braehead,123525
Braes Villages,100000
"Braeside, Branchton, Lower Larkfield and Ravenscraig",75000
"Braeside, Mannofield, Broomhill and Seafield East",175500
"Braeside, Mannofield, Broomhill and Seafield North",227000
"Braeside, Mannofield, Broomhill and Seafield South",273750
Braidfauld,110000
Brechin East,90500
Brechin West,98500
Breich Valley,110000
Bridge of Allan and University,245278
Bridge of Earn and Abernethy,179000
Bridge of Weir,213750
Bridgeton,91450
Brightons and Wallacestone,142167
Broadbay,124500
Broomhill,236513
Broomhouse and Bankhead,180000
Broomridge,113250
Broughton North and Powderhall,214500
Broughton South,255250
Broughty Ferry East,191000
Broughty Ferry West,178000
Broxburn East,204995
Broxburn Kirkhill,135000
Broxburn South,198500
Bruntsfield,327500
"Buckhaven, Denbeath and Muiredge",67000
Buckie Central East,114125
Buckie West and Mains of Buckie,120000
Bucksburn North,182000
Bucksburn South,160000
"Burgh, Eastfield and Silverbank",138379
"Burghead, Roseisle and Laich",163000
Burghmuir and Oakbank,189500
Burnbank Central and Udston,62500
Burnbank North,100638
Burnbank South and Chantinghall,88000
Burnfoot,45000
Burnhill and Bankhead North,73500
Burnside and Springhall,173000
Burntisland East,115000
Burntisland West,101000
Busby,155000
Bute,100000
Caird Park,135000
Cairneyhill and Crombie,144999
Cairnhill,121250
Caithness North East,112000
Caithness North West,126000
Caithness South,113500
Calderbank and Brownsburn,86498
Caldercruix and Plains,103250
Calderwood Central,98250
Calderwood East,85000
Calderwood West and Nerston,97000
Callander and Trossachs,184250
Calside,124000
Calton and Gallowgate,135000
Cambusbarron,166500
Cambuslang Central,161000
Campbeltown,72250
"Canongate, Southside and Dumbiedykes",218500
Canonmills and New Town North,392500
Cardenden,162500
Cardonald North,92358
Cardonald South and East,84500
Cardonald West and Central,97000
Cardowan and Millerston,192000
Carfin North,100000
Carfin and Cleekhimin,88000
Carluke East,95000
Carluke North,74513
Carluke South,122000
Carluke West,96400
Carmondean and Eliburn North,135135
Carmunnock North,169121
Carmunnock South,149250
Carmyle and Mount Vernon South,99000
Carnoustie East,167000
Carnoustie West,145000
Carntyne,86750
Carntyne West and Haghill,67850
Carnwadric East,82000
Carnwadric West,82000
Carrick Knowe,160148
Carrick North,232495
Carrick South,140000
Carrickstone,196000
Carron,117500
Carronshore,99000
Carse and Grangemouth Old Town,242450
Carse of Stirling,283748
"Carstairs, Carstairs Junction and Carnwath",112000
Castle Douglas,161500
Castlehill and Kincaidston,100000
Castlemilk,75000
Cathcart,106625
Causewayhead,200064
Central Easterhouse,60000
Central Shetland,155000
Central and South Inch,80000
Chapelhall East,133000
Chapelhall West,99750
"Chapelton, Glengavel and Sandford",297000
Charleston,85000
Cheviot East,182000
Cheviot West,242500
Chirnside and Area,182500
Chryston and Muirhead,147300
City Centre,125025
City Centre,112000
City Centre East,119500
City Centre East,150000
City Centre South,175250
City Centre West,122250
City Centre West,164500
"Clackmannan, Kennet and Forestmill",147500
Clarkston and Sheddens,250100
Clashindarroch,210000
Cleland,188498
Clermiston and Drumbrae,186555
Cliftonville,87000
Clovenstone and Wester Hailes,120000
Clydebank,85000
Clydebank North,102629
Clydebank east,91000
Clydesdale South,144000
Clydesdale and New Stevenston,136000
Coatbridge West,80000
Coatdyke and Whinhall,104000
Cockenzie,163500
Coldstream and Area,175000
Colinton Mains and Firrhill,167100
Colinton and Kingsknowe,343000
Collin,170000
Coltness,77000
Comely Bank,340000
Comiston and Swanston,350000
"Comrie, Gilmerton and St Fillans",208000
Condorrat,102800
Conon,200000
Cornton,205000
Corstorphine,275000
Corstorphine North,310000
Corstorphine South,190000
Coupar Angus and Meigle,171665
Cove North,160000
Cove South,199995
Cowal North,152500
Cowal South,140000
Cowdenbeath North,150498
Cowdenbeath South,80000
Cowie,95000
Cowlairs and Port Dundas,95000
Coylton,138750
Craigend and Ruchazie,130000
Craigentinny,328760
Craigie,105300
Craigie and  Craigiebank,115008
"Craigleith, Orchard Brae and Crewe Toll",325278
Craiglockhart,452000
Craigmillar,170000
Craigneuk Airdrie,120000
Craigneuk Wishaw,67500
Craigshill,113000
Craigton,90000
Crail and Boarhills,223250
Cramond,415000
"Cranhill, Lightburn and Queenslie South",86000
Crathes and Torphins,299000
Crieff North,198000
Crieff South,120000
Cromar and Kildrummy,248000
Crookfur and Fruin,292000
Crookston North,90000
Crookston South,122000
Cross Stobbs,151100
Crossford Charlestown and Limekilns,207500
"Crossford, Braidwood and Yieldshields",186995
Crossgates and Halbeath,106528
Crosshouse and Lindsayfield,135000
"Crosshouse, Gatehead and Kilmaurs Rural",170498
Cruden,131250
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",138375
Culter,153000
"Cults, Bieldside and Milltimber East",361361
