2011Zones,People Claiming Benefits Ratio
Abbey Parks North,14
Abbey Parks South and Brucefield North West,12
Abbeyhill - 01,19
Abbeyhill - 02,7
Abbeyhill - 03,10
Abbeyview Central,21
Abbeyview East,23
Abbeyview Linburn,8
Abbeyview North,25
Abbeyview South East,19
Abbeyview West,21
Aberchirder and Whitehills - 01,9
Aberchirder and Whitehills - 02,9
Aberchirder and Whitehills - 03,7
Aberchirder and Whitehills - 04,8
Aberchirder and Whitehills - 05,12
Aberdour,3
Aberhill,33
Aberuthven and Almondbank - 01,5
Aberuthven and Almondbank - 02,4
Aberuthven and Almondbank - 03,4
Aberuthven and Almondbank - 04,4
Aberuthven and Almondbank - 05,8
Aboyne and South Deeside - 01,9
Aboyne and South Deeside - 02,6
Aboyne and South Deeside - 03,3
Aboyne and South Deeside - 04,3
Aboyne and South Deeside - 05,3
Aboyne and South Deeside - 06,6
Aboyne and South Deeside - 07,2
Abronhill North - 01,17
Abronhill North - 02,17
Abronhill North - 03,21
Abronhill North - 04,12
Abronhill North - 05,7
Abronhill North - 06,4
Abronhill South - 01,19
Abronhill South - 02,19
Abronhill South - 03,18
Abronhill South - 04,12
Abronhill South - 05,12
Admiralty Central,9
Admiralty North,11
Admiralty North East,10
Admiralty South,12
Admiralty South East,16
Admiralty South West,15
Airdrie North - 01,25
Airdrie North - 02,25
Airdrie North - 03,25
Airdrie North - 04,33
Airdrie North - 05,26
Airdrie North - 06,31
Alexandra Parade - 01,27
Alexandra Parade - 02,15
Alexandra Parade - 03,17
Alexandria - 01,21
Alexandria - 02,16
Alexandria - 03,28
Alexandria - 04,11
Alexandria - 05,26
Allanton - Newmains Rural - 01,9
Allanton - Newmains Rural - 02,18
Allanton - Newmains Rural - 03,14
Allanton - Newmains Rural - 04,3
Alloa North - 01,15
Alloa North - 02,4
Alloa North - 03,17
Alloa North - 04,26
Alloa North - 05,20
Alloa North - 06,18
Alloa North - 07,17
Alloa North - 08,6
Alloa North - 09,4
Alloa South and East - 01,34
Alloa South and East - 02,17
Alloa South and East - 03,39
Alloa South and East - 04,27
Alloa South and East - 05,46
Alloa South and East - 06,28
Alloa West - 01,8
Alloa West - 02,3
Alloa West - 03,10
Alloa West - 04,11
Alloa West - 05,9
Alloway and Doonfoot - 01,3
Alloway and Doonfoot - 02,4
Alloway and Doonfoot - 03,2
Alloway and Doonfoot - 04,3
Alloway and Doonfoot - 05,1
Alloway and Doonfoot - 06,4
Alloway and Doonfoot - 07,2
Alloway and Doonfoot - 08,2
Alness - 01,20
Alness - 02,25
Alness - 03,23
Alness - 04,29
Alness - 05,2
Alness - 06,16
Alness - 07,10
Alness - 08,12
Altonhill North and Onthank - 01,20
Altonhill North and Onthank - 02,25
Altonhill North and Onthank - 03,35
Altonhill North and Onthank - 04,42
Altonhill North and Onthank - 05,19
Altonhill North and Onthank - 06,4
"Altonhill South, Longpark and Hillhead - 01",3
"Altonhill South, Longpark and Hillhead - 02",50
"Altonhill South, Longpark and Hillhead - 03",45
"Altonhill South, Longpark and Hillhead - 04",24
"Altonhill South, Longpark and Hillhead - 05",36
"Altonhill South, Longpark and Hillhead - 06",19
"Altonhill South, Longpark and Hillhead - 07",35
Alva - 01,11
Alva - 02,16
Alva - 03,18
Alva - 04,18
Alva - 05,12
Alva - 06,10
Alva - 07,3
Alyth - 01,5
Alyth - 02,8
Alyth - 03,12
Alyth - 04,12
Ancrum and Lanton Area,6
Anderston - 01,1
Anderston - 02,22
Anderston - 03,31
Anderston - 04,13
Anderston - 05,13
Anderston - 06,6
Angus Glens - 01,5
Angus Glens - 02,6
Angus Glens - 03,5
Angus Glens - 04,6
Angus Glens - 05,6
Annan East - 01,16
Annan East - 02,12
Annan East - 03,6
Annan East - 04,3
Annan East - 05,16
Annan East - 06,21
Annan East - 07,19
Annan East - 08,6
Annan West - 01,20
Annan West - 02,13
Annan West - 03,13
Annan West - 04,8
Annandale East - 01,8
Annandale East - 02,12
Annandale East - 03,6
Annandale East - 04,14
Annandale East - 05,9
Annandale West - 01,7
Annandale West - 02,5
Annandale West - 03,8
Annandale West - 04,8
"Annbank, Mossblown and Tarbolton - the Coalfields - 01",8
"Annbank, Mossblown and Tarbolton - the Coalfields - 02",15
"Annbank, Mossblown and Tarbolton - the Coalfields - 03",12
"Annbank, Mossblown and Tarbolton - the Coalfields - 04",16
"Annbank, Mossblown and Tarbolton - the Coalfields - 05",14
"Annbank, Mossblown and Tarbolton - the Coalfields - 06",20
"Annbank, Mossblown and Tarbolton - the Coalfields - 07",12
Anniesland East - 01,7
Anniesland East - 02,3
Anniesland East - 03,9
Anniesland East - 04,7
Anniesland East - 05,24
Anniesland West - 01,16
