2011Zones,Average Travel Time to Key Services
Abbey Parks North,3.9
Abbey Parks South and Brucefield North West,3.7
Abbeyhill - 01,4.1
Abbeyhill - 02,5.6
Abbeyhill - 03,5.3
Abbeyview Central,4.9
Abbeyview East,4.1
Abbeyview Linburn,6.2
Abbeyview North,4.7
Abbeyview South East,4.9
Abbeyview West,5.2
Aberchirder and Whitehills - 01,7
Aberchirder and Whitehills - 02,10.7
Aberchirder and Whitehills - 03,13.6
Aberchirder and Whitehills - 04,8.8
Aberchirder and Whitehills - 05,9
Aberdour,7.8
Aberhill,3.9
Aberuthven and Almondbank - 01,10.6
Aberuthven and Almondbank - 02,16.3
Aberuthven and Almondbank - 03,9
Aberuthven and Almondbank - 04,7.2
Aberuthven and Almondbank - 05,8.4
Aboyne and South Deeside - 01,5.9
Aboyne and South Deeside - 02,4.3
Aboyne and South Deeside - 03,9.2
Aboyne and South Deeside - 04,11.8
Aboyne and South Deeside - 05,17.3
Aboyne and South Deeside - 06,4.6
Aboyne and South Deeside - 07,8.8
Abronhill North - 01,6
Abronhill North - 02,3.4
Abronhill North - 03,4.5
Abronhill North - 04,4.9
Abronhill North - 05,6.3
Abronhill North - 06,5.5
Abronhill South - 01,6.1
Abronhill South - 02,5.8
Abronhill South - 03,5.9
Abronhill South - 04,8.5
Abronhill South - 05,7.9
Admiralty Central,4.4
Admiralty North,4.1
Admiralty North East,4.4
Admiralty South,5.2
Admiralty South East,3.9
Admiralty South West,6.1
Airdrie North - 01,7.3
Airdrie North - 02,6
Airdrie North - 03,4.2
Airdrie North - 04,4.7
Airdrie North - 05,4.3
Airdrie North - 06,6.5
Alexandra Parade - 01,2.8
Alexandra Parade - 02,2.5
Alexandra Parade - 03,3.8
Alexandria - 01,3.5
Alexandria - 02,5
Alexandria - 03,5.9
Alexandria - 04,6.2
Alexandria - 05,4
Allanton - Newmains Rural - 01,7.4
Allanton - Newmains Rural - 02,6.3
Allanton - Newmains Rural - 03,6.4
Allanton - Newmains Rural - 04,9
Alloa North - 01,5.2
Alloa North - 02,7.4
Alloa North - 03,8
Alloa North - 04,5.4
Alloa North - 05,5.8
Alloa North - 06,5.4
Alloa North - 07,5.9
Alloa North - 08,8.2
Alloa North - 09,6.7
Alloa South and East - 01,5.2
Alloa South and East - 02,4.5
Alloa South and East - 03,5.6
Alloa South and East - 04,6.1
Alloa South and East - 05,7.5
Alloa South and East - 06,3.6
Alloa West - 01,7
Alloa West - 02,4.7
Alloa West - 03,5.2
Alloa West - 04,7.5
Alloa West - 05,7.5
Alloway and Doonfoot - 01,5.7
Alloway and Doonfoot - 02,9
Alloway and Doonfoot - 03,6.9
