CouncilArea,Level of Satisfaction of Local Schools
Aberdeen City,36.5
Aberdeenshire,49
Angus,47.2
Argyll and Bute,45.2
City of Edinburgh,29.8
Clackmannanshire,43.7
Dumfries and Galloway,45.8
Dundee City,38.7
East Ayrshire,42.2
East Dunbartonshire,49.4
East Lothian,54
East Renfrewshire,60.3
Falkirk,39.9
Fife,48.9
Glasgow City,35.6
Highland,44.9
Inverclyde,36.6
Midlothian,38.1
Moray,55.6
Na h-Eileanan Siar,30.9
North Ayrshire,44.3
North Lanarkshire,53.8
Orkney Islands,62.2
Perth and Kinross,46.3
Renfrewshire,38.9
Scottish Borders,46.7
Shetland Islands,78.7
South Ayrshire,28.6
South Lanarkshire,50.5
Stirling,43.6
West Dunbartonshire,48.8
West Lothian,48.9
