2011Zones,Population Count
Aberdeen City,223210
Aberdeenshire,261450
Angus,115000
Argyll and Bute,87180
City of Edinburgh,510980
Clackmannanshire,51430
Dumfries and Galloway,146140
Dundee City,148160
East Ayrshire,120360
East Dunbartonshire,108900
East Lothian,109500
East Renfrewshire,95880
Falkirk,159100
Fife,370820
Glasgow City,614200
Highland,233910
Inverclyde,78620
Midlothian,94180
Moray,93850
Na h-Eileanan Siar,26080
North Ayrshire,134070
North Lanarkshire,341450
Orkney Islands,21960
Perth and Kinross,149450
Renfrewshire,181790
Scottish Borders,116360
Shetland Islands,22880
South Ayrshire,111460
South Lanarkshire,323640
Stirling,92160
West Dunbartonshire,89040
West Lothian,179890
Aberdeen Central,83276
Aberdeen Donside,80835
Aberdeen South and North Kincardine,80961
Aberdeenshire East,81257
Aberdeenshire West,76124
Airdrie and Shotts,70412
Almond Valley,87246
Angus North and Mearns,70575
Angus South,72935
Argyll and Bute,59715
Ayr,74781
Banffshire and Buchan Coast,74883
"Caithness, Sutherland and Ross",69491
"Carrick, Cumnock and Doon Valley",76018
Clackmannanshire and Dunblane,68338
Clydebank and Milngavie,69983
Clydesdale,73203
Coatbridge and Chryston,73461
Cowdenbeath,72302
Cumbernauld and Kilsyth,64024
Cunninghame North,68625
Cunninghame South,65625
Dumbarton,72587
Dumfriesshire,75786
Dundee City East,70909
Dundee City West,77911
Dunfermline,78261
East Kilbride,77590
East Lothian,81581
Eastwood,71719
Edinburgh Central,96045
Edinburgh Eastern,89626
Edinburgh Northern and Leith,96177
Edinburgh Pentlands,77996
Edinburgh Southern,81721
Edinburgh Western,86055
"Ettrick, Roxburgh and Berwickshire",67658
Falkirk East,80667
Falkirk West,79893
Galloway and West Dumfries,72504
Glasgow Anniesland,75059
Glasgow Cathcart,74855
Glasgow Kelvin,95957
Glasgow Maryhill and Springburn,75432
Glasgow Pollok,81863
Glasgow Provan,78024
Glasgow Shettleston,81907
Glasgow Southside,72543
Greenock and Inverclyde,71856
"Hamilton, Larkhall and Stonehouse",74530
Inverness and Nairn,90032
Kilmarnock and Irvine Valley,82941
Kirkcaldy,78626
Linlithgow,96574
Mid Fife and Glenrothes,69384
Midlothian North and Musselburgh,87209
"Midlothian South, Tweeddale and Lauderdale",79842
Moray,80524
Motherwell and Wishaw,76352
Na h-Eileanan an Iar,26500
North East Fife,75557
Orkney Islands,22400
Paisley,72718
Perthshire North,72668
Perthshire South and Kinross-shire,79242
Renfrewshire North and West,66647
Renfrewshire South,69570
Rutherglen,77819
Shetland Islands,22870
"Skye, Lochaber and Badenoch",75907
Stirling,77032
Strathkelvin and Bearsden,80235
Uddingston and Bellshill,74569
Ayrshire and Arran,365890
Borders,116360
Dumfries and Galloway,146140
Fife,370820
Forth Valley,302690
Grampian,578510
Greater Glasgow and Clyde,1168430
Highland,321090
Lanarkshire,665090
Lothian,894550
Orkney,21960
Shetland,22880
Tayside,412610
Western Isles,26080
Abbey,10451
"Aboyne, Upper Deeside and Donside",10260
Aird and Loch Ness,11490
Airdrie Central,16181
Airdrie North,20104
Airdrie South,20032
Airyhall/Broomhill/Garthdee,16838
Almond,36779
Almond and Earn,9495
An Taobh Siar agus Nis,2652
Anderston/City/Yorkhill,35735
Annandale East and Eskdale ,9879
Annandale North,15377
Annandale South,14655
Annick,14560
Arbroath East and Lunan,12863
"Arbroath West, Letham and Friockheim",18953
Ardrossan and Arran,11447
Armadale and Blackridge,15721
Avondale and Stonehouse,17362
Ayr East,12186
Ayr North,17240
Ayr West,16837
Badenoch and Strathspey,13948
Baillieston,22890
Ballochmyle,13945
Banchory and Mid Deeside,11763
Banff and District,10898
Bannockburn,11375
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",3031
"Barrhead, Liboside and Uplawmoor",18846
Bathgate,23741
Bearsden North,14943
Bearsden South,13318
Beinn na Foghla agus Uibhist a Tuath,2878
Bellshill,14984
Bishopbriggs North and Campsie,19323
Bishopbriggs South,15868
"Bishopton, Bridge of Weir and Langbank",10040
Black Isle,10535
Blairgowrie and Glens,11278
Blantyre,16050
Bonnybridge and Larbert,17238
