CouncilArea,Underemployment Percentage
Dumfries and Galloway,8.3
East Lothian,7.4
East Renfrewshire,6
Na h-Eileanan Siar,10.9
Falkirk,5.3
Highland,7.8
Inverclyde,7.3
Midlothian,7.9
Moray,10.5
North Ayrshire,9
Scottish Borders,7.7
South Ayrshire,7
South Lanarkshire,5.1
Stirling,5.5
Aberdeen City,7.4
Aberdeenshire,6.1
Argyll and Bute,9.6
City of Edinburgh,6.4
Renfrewshire,7.4
West Dunbartonshire,7.3
West Dunbartonshire,7.9
West Lothian,5
Angus,8.5
Angus,11.1
Dundee City,8.8
East Dunbartonshire,4.1
Glasgow City,8.7
Fife,6.8
Perth and Kinross,7.6
Perth and Kinross,10.2
